hospital_name,last_updated_on,version,hospital_location,hospital_address,license_number|PA,"To the best of its knowledge and belief, the hospital has included all applicable standard charge information in accordance with the requirements of 45 CFR 180.50, and the information encoded is true, accurate, and complete as of the date indicated.",,,,,,,,,,,,,,,,,,,
SHAV EPI/DER LES TRK 0.6-1.0CM,361,RC,11301,CPT,,,,,facility,inpatient,,,1072,857.6,Aetna,EBR ASO,,375.2,,,,188.67,911.2,percent of total billed charges,
SHAV EPI/DER LES TRK 0.6-1.0CM,361,RC,11301,CPT,,,,,facility,outpatient,,,1072,857.6,Aetna,EBR ASO,,375.2,,,,35.2,911.2,percent of total billed charges,
SHAV EPI/DER LES TRK 1.1-2CM,361,RC,11302,CPT,,,,,facility,inpatient,,,1874,1499.2,Aetna,EBR ASO,,655.9,,,,329.82,1592.9,percent of total billed charges,
SHAV EPI/DER LES TRK 1.1-2CM,361,RC,11302,CPT,,,,,facility,outpatient,,,1874,1499.2,Aetna,EBR ASO,,655.9,,,,41.8,1592.9,percent of total billed charges,
SHAV EPI/DER LES SCLP <0.5CM,361,RC,11305,CPT,,,,,facility,inpatient,,,1072,857.6,Aetna,EBR ASO,,375.2,,,,188.67,911.2,percent of total billed charges,
SHAV EPI/DER LES SCLP <0.5CM,361,RC,11305,CPT,,,,,facility,outpatient,,,1072,857.6,Aetna,EBR ASO,,375.2,,,,30.8,911.2,percent of total billed charges,
SHAV EPI/DER LES SCL 0.6-1.0CM,361,RC,11306,CPT,,,,,facility,inpatient,,,1072,857.6,Aetna,EBR ASO,,375.2,,,,188.67,911.2,percent of total billed charges,
SHAV EPI/DER LES SCL 0.6-1.0CM,361,RC,11306,CPT,,,,,facility,outpatient,,,1072,857.6,Aetna,EBR ASO,,375.2,,,,38.5,911.2,percent of total billed charges,
SHAV EPI/DER LES SCLP >2.0 CM,361,RC,11308,CPT,,,,,facility,inpatient,,,3741,2992.8,Aetna,EBR ASO,,1309.35,,,,658.42,3179.85,percent of total billed charges,
SHAV EPI/DER LES SCLP >2.0 CM,361,RC,11308,CPT,,,,,facility,outpatient,,,3741,2992.8,Aetna,EBR ASO,,1309.35,,,,55,3179.85,percent of total billed charges,
SHAV EPI/DER LES FACE <0.5CM,361,RC,11310,CPT,,,,,facility,inpatient,,,1072,857.6,Aetna,EBR ASO,,375.2,,,,188.67,911.2,percent of total billed charges,
SHAV EPI/DER LES FACE <0.5CM,361,RC,11310,CPT,,,,,facility,outpatient,,,1072,857.6,Aetna,EBR ASO,,375.2,,,,35.2,911.2,percent of total billed charges,
SHAV EPI/DER LES FAC 0.6-1.0CM,361,RC,11311,CPT,,,,,facility,inpatient,,,1072,857.6,Aetna,EBR ASO,,375.2,,,,188.67,911.2,percent of total billed charges,
SHAV EPI/DER LES FAC 0.6-1.0CM,361,RC,11311,CPT,,,,,facility,outpatient,,,1072,857.6,Aetna,EBR ASO,,375.2,,,,41.8,911.2,percent of total billed charges,
SHAV EPI/DER LES FAC 1.1-2.0CM,361,RC,11312,CPT,,,,,facility,inpatient,,,1306,1044.8,Aetna,EBR ASO,,457.1,,,,229.86,1110.1,percent of total billed charges,
SHAV EPI/DER LES FAC 1.1-2.0CM,361,RC,11312,CPT,,,,,facility,outpatient,,,1306,1044.8,Aetna,EBR ASO,,457.1,,,,55,1276.5,percent of total billed charges,
EX BEN LES<0.5CM TRNK/LIMB,361,RC,11400,CPT,,,,,facility,inpatient,,,4843,3874.4,Aetna,EBR ASO,,1695.05,,,,852.37,4116.55,percent of total billed charges,
EX BEN LES<0.5CM TRNK/LIMB,361,RC,11400,CPT,,,,,facility,outpatient,,,4843,3874.4,Aetna,EBR ASO,,1695.05,,,,41.25,4116.55,percent of total billed charges,
EXCISION LES B T A L 0.6-1.0CM,361,RC,11401,CPT,,,,,facility,inpatient,,,4393,3514.4,Aetna,EBR ASO,,1537.55,,,,773.17,3734.05,percent of total billed charges,
EXCISION LES B T A L 0.6-1.0CM,361,RC,11401,CPT,,,,,facility,outpatient,,,4393,3514.4,Aetna,EBR ASO,,1537.55,,,,51.15,3734.05,percent of total billed charges,
EXCISION LES B T A L 1.1-2.0CM,361,RC,11402,CPT,,,,,facility,inpatient,,,4843,3874.4,Aetna,EBR ASO,,1695.05,,,,852.37,4116.55,percent of total billed charges,
EXCISION LES B T A L 1.1-2.0CM,361,RC,11402,CPT,,,,,facility,outpatient,,,4843,3874.4,Aetna,EBR ASO,,1695.05,,,,59.4,4116.55,percent of total billed charges,
EXCISION LES B T A L 2.1-3.0CM,361,RC,11403,CPT,,,,,facility,inpatient,,,4843,3874.4,Aetna,EBR ASO,,1695.05,,,,852.37,4116.55,percent of total billed charges,
EXCISION LES B T A L 2.1-3.0CM,361,RC,11403,CPT,,,,,facility,outpatient,,,4843,3874.4,Aetna,EBR ASO,,1695.05,,,,71.5,4116.55,percent of total billed charges,
EXCISION LES B T A L 3.1-4.0CM,361,RC,11404,CPT,,,,,facility,inpatient,,,4843,3874.4,Aetna,EBR ASO,,1695.05,,,,852.37,4116.55,percent of total billed charges,
EXCISION LES B T A L 3.1-4.0CM,361,RC,11404,CPT,,,,,facility,outpatient,,,4843,3874.4,Aetna,EBR ASO,,1695.05,,,,88.55,4116.55,percent of total billed charges,
EXCISION LES B T A L 4.1+CM,361,RC,11406,CPT,,,,,facility,inpatient,,,4843,3874.4,Aetna,EBR ASO,,1695.05,,,,852.37,4116.55,percent of total billed charges,
EXCISION LES B T A L 4.1+CM,361,RC,11406,CPT,,,,,facility,outpatient,,,4843,3874.4,Aetna,EBR ASO,,1695.05,,,,129.25,4556.16,percent of total billed charges,
EXCISION LESB S N H <= 0.5 CM,361,RC,11420,CPT,,,,,facility,inpatient,,,4487,3589.6,Aetna,EBR ASO,,1570.45,,,,789.71,3813.95,percent of total billed charges,
EXCISION LESB S N H <= 0.5 CM,361,RC,11420,CPT,,,,,facility,outpatient,,,4487,3589.6,Aetna,EBR ASO,,1570.45,,,,44,3813.95,percent of total billed charges,
EXCISION LESB S N H 0.6-1.0 CM,361,RC,11421,CPT,,,,,facility,inpatient,,,3391,2712.8,Aetna,EBR ASO,,1186.85,,,,596.82,2882.35,percent of total billed charges,
EXCISION LESB S N H 0.6-1.0 CM,361,RC,11421,CPT,,,,,facility,outpatient,,,3391,2712.8,Aetna,EBR ASO,,1186.85,,,,46.75,3402.67,percent of total billed charges,
EXCISION LESB S N H 1.1-2.0 CM,361,RC,11422,CPT,,,,,facility,inpatient,,,4393,3514.4,Aetna,EBR ASO,,1537.55,,,,773.17,3734.05,percent of total billed charges,
EXCISION LESB S N H 1.1-2.0 CM,361,RC,11422,CPT,,,,,facility,outpatient,,,4393,3514.4,Aetna,EBR ASO,,1537.55,,,,41.25,3734.05,percent of total billed charges,
EXCISION LESB S N H 2.1-3.0CM,361,RC,11423,CPT,,,,,facility,inpatient,,,4393,3514.4,Aetna,EBR ASO,,1537.55,,,,773.17,3734.05,percent of total billed charges,
EXCISION LESB S N H 2.1-3.0CM,361,RC,11423,CPT,,,,,facility,outpatient,,,4393,3514.4,Aetna,EBR ASO,,1537.55,,,,39.6,3734.05,percent of total billed charges,
EXCISION LESB S N H 3.1-4.0CM,361,RC,11424,CPT,,,,,facility,inpatient,,,5069,4055.2,Aetna,EBR ASO,,1774.15,,,,892.14,4308.65,percent of total billed charges,
EXCISION LESB S N H 3.1-4.0CM,361,RC,11424,CPT,,,,,facility,outpatient,,,5069,4055.2,Aetna,EBR ASO,,1774.15,,,,95.15,4556.16,percent of total billed charges,
EXCISION LESB S N H > 4.0 CM,361,RC,11426,CPT,,,,,facility,inpatient,,,8161,6528.8,Aetna,EBR ASO,,2856.35,,,,1436.34,6936.85,percent of total billed charges,
EXCISION LESB S N H > 4.0 CM,361,RC,11426,CPT,,,,,facility,outpatient,,,8161,6528.8,Aetna,EBR ASO,,2856.35,,,,133.1,6936.85,percent of total billed charges,
EXC BGN LES FEENL <0.5CM,361,RC,11440,CPT,,,,,facility,inpatient,,,6019,4815.2,Aetna,EBR ASO,,2106.65,,,,1059.34,5116.15,percent of total billed charges,
EXC BGN LES FEENL <0.5CM,361,RC,11440,CPT,,,,,facility,outpatient,,,6019,4815.2,Aetna,EBR ASO,,2106.65,,,,59.95,5116.15,percent of total billed charges,
EXC BGN LES FEENL 0.6-1.0CM,361,RC,11441,CPT,,,,,facility,inpatient,,,4843,3874.4,Aetna,EBR ASO,,1695.05,,,,852.37,4116.55,percent of total billed charges,
EXC BGN LES FEENL 0.6-1.0CM,361,RC,11441,CPT,,,,,facility,outpatient,,,4843,3874.4,Aetna,EBR ASO,,1695.05,,,,72.05,4116.55,percent of total billed charges,
EXC BGN LES FEENL 1.1-2.0CM,361,RC,11442,CPT,,,,,facility,inpatient,,,5034,4027.2,Aetna,EBR ASO,,1761.9,,,,885.98,4278.9,percent of total billed charges,
EXC BGN LES FEENL 1.1-2.0CM,361,RC,11442,CPT,,,,,facility,outpatient,,,5034,4027.2,Aetna,EBR ASO,,1761.9,,,,86.35,4278.9,percent of total billed charges,
EXC BGN LES FEENL 2.1-3CM,361,RC,11443,CPT,,,,,facility,inpatient,,,5034,4027.2,Aetna,EBR ASO,,1761.9,,,,885.98,4278.9,percent of total billed charges,
EXC BGN LES FEENL 2.1-3CM,361,RC,11443,CPT,,,,,facility,outpatient,,,5034,4027.2,Aetna,EBR ASO,,1761.9,,,,97.9,4278.9,percent of total billed charges,
EXC BGN LES FEENL 3.1-4CM,361,RC,11444,CPT,,,,,facility,inpatient,,,5034,4027.2,Aetna,EBR ASO,,1761.9,,,,885.98,4278.9,percent of total billed charges,
EXC BGN LES FEENL 3.1-4CM,361,RC,11444,CPT,,,,,facility,outpatient,,,5034,4027.2,Aetna,EBR ASO,,1761.9,,,,128.7,4278.9,percent of total billed charges,
EXC BGN LES FEENL 3.1-4CM,361,RC,11444,CPT,,,,,facility,inpatient,,,5034,4027.2,Aetna,EBR ASO,PN,1761.9,,,,885.98,4278.9,percent of total billed charges,
EXC BGN LES FEENL 3.1-4CM,361,RC,11444,CPT,,,,,facility,outpatient,,,5034,4027.2,Aetna,EBR ASO,PN,1761.9,,,,128.7,4278.9,percent of total billed charges,
EXC BGN LES FEENL > 4.0 CM,361,RC,11446,CPT,,,,,facility,inpatient,,,8161,6528.8,Aetna,EBR ASO,,2856.35,,,,1436.34,6936.85,percent of total billed charges,
EXC BGN LES FEENL > 4.0 CM,361,RC,11446,CPT,,,,,facility,outpatient,,,8161,6528.8,Aetna,EBR ASO,,2856.35,,,,130.35,6936.85,percent of total billed charges,
EXC MAL LES TAL <= 0.5 CM,361,RC,11600,CPT,,,,,facility,inpatient,,,4613,3690.4,Aetna,EBR ASO,,1614.55,,,,811.89,3921.05,percent of total billed charges,
EXC MAL LES TAL <= 0.5 CM,361,RC,11600,CPT,,,,,facility,outpatient,,,4613,3690.4,Aetna,EBR ASO,,1614.55,,,,88,3921.05,percent of total billed charges,
EXC MAL LES TAL 0.6-1.0CM,361,RC,11601,CPT,,,,,facility,inpatient,,,3802,3041.6,Aetna,EBR ASO,,1330.7,,,,669.15,3231.7,percent of total billed charges,
EXC MAL LES TAL 0.6-1.0CM,361,RC,11601,CPT,,,,,facility,outpatient,,,3802,3041.6,Aetna,EBR ASO,,1330.7,,,,108.9,3402.67,percent of total billed charges,
EXC MAL LES TAL 1.1-2.0CM,361,RC,11602,CPT,,,,,facility,inpatient,,,4393,3514.4,Aetna,EBR ASO,,1537.55,,,,773.17,3734.05,percent of total billed charges,
EXC MAL LES TAL 1.1-2.0CM,361,RC,11602,CPT,,,,,facility,outpatient,,,4393,3514.4,Aetna,EBR ASO,,1537.55,,,,89.1,3734.05,percent of total billed charges,
EXC TR-EXT MLG+MARG 2.1-3 CM,361,RC,11603,CPT,,,,,facility,inpatient,,,6019,4815.2,Aetna,EBR ASO,,2106.65,,,,1059.34,5116.15,percent of total billed charges,
EXC TR-EXT MLG+MARG 2.1-3 CM,361,RC,11603,CPT,,,,,facility,outpatient,,,6019,4815.2,Aetna,EBR ASO,,2106.65,,,,94.05,5116.15,percent of total billed charges,
EXC MAL LES TAL 3.1-4.0CM,361,RC,11604,CPT,,,,,facility,inpatient,,,5689,4551.2,Aetna,EBR ASO,,1991.15,,,,1001.26,4835.65,percent of total billed charges,
EXC MAL LES TAL 3.1-4.0CM,361,RC,11604,CPT,,,,,facility,outpatient,,,5689,4551.2,Aetna,EBR ASO,,1991.15,,,,138.05,4835.65,percent of total billed charges,
EXC MAL LES TAL > 4.0CM,361,RC,11606,CPT,,,,,facility,inpatient,,,5689,4551.2,Aetna,EBR ASO,,1991.15,,,,1001.26,4835.65,percent of total billed charges,
EXC MAL LES TAL > 4.0CM,361,RC,11606,CPT,,,,,facility,outpatient,,,5689,4551.2,Aetna,EBR ASO,,1991.15,,,,270.6,4835.65,percent of total billed charges,
EXC MAL LES SNHFG 1.1-2.0CM,361,RC,11622,CPT,,,,,facility,inpatient,,,5689,4551.2,Aetna,EBR ASO,,1991.15,,,,1001.26,4835.65,percent of total billed charges,
EXC MAL LES SNHFG 1.1-2.0CM,361,RC,11622,CPT,,,,,facility,outpatient,,,5689,4551.2,Aetna,EBR ASO,,1991.15,,,,123.2,4835.65,percent of total billed charges,
EXC MAL LES SNHFG 2.1-3.0CM,361,RC,11623,CPT,,,,,facility,inpatient,,,5689,4551.2,Aetna,EBR ASO,,1991.15,,,,1001.26,4835.65,percent of total billed charges,
EXC MAL LES SNHFG 2.1-3.0CM,361,RC,11623,CPT,,,,,facility,outpatient,,,5689,4551.2,Aetna,EBR ASO,,1991.15,,,,124.85,4835.65,percent of total billed charges,
EXC MAL LES SNHFG 3.1-4.0CM,361,RC,11624,CPT,,,,,facility,inpatient,,,5689,4551.2,Aetna,EBR ASO,,1991.15,,,,1001.26,4835.65,percent of total billed charges,
EXC MAL LES SNHFG 3.1-4.0CM,361,RC,11624,CPT,,,,,facility,outpatient,,,5689,4551.2,Aetna,EBR ASO,,1991.15,,,,207.9,4835.65,percent of total billed charges,
EXC MAL LES FEEL 0.6-1.0CM,361,RC,11641,CPT,,,,,facility,inpatient,,,4633,3706.4,Aetna,EBR ASO,,1621.55,,,,815.41,3938.05,percent of total billed charges,
EXC MAL LES FEEL 0.6-1.0CM,361,RC,11641,CPT,,,,,facility,outpatient,,,4633,3706.4,Aetna,EBR ASO,,1621.55,,,,102.3,3938.05,percent of total billed charges,
EXC MAL LES FEEL 1.1-2.0CM,361,RC,11642,CPT,,,,,facility,inpatient,,,5689,4551.2,Aetna,EBR ASO,,1991.15,,,,1001.26,4835.65,percent of total billed charges,
EXC MAL LES FEEL 1.1-2.0CM,361,RC,11642,CPT,,,,,facility,outpatient,,,5689,4551.2,Aetna,EBR ASO,,1991.15,,,,148.5,4835.65,percent of total billed charges,
DEBRIDEMENT NAILS 1 - 5,361,RC,11720,CPT,,,,,facility,inpatient,,,419,335.2,Aetna,EBR ASO,,146.65,,,,73.74,356.15,percent of total billed charges,
DEBRIDEMENT NAILS 1 - 5,361,RC,11720,CPT,,,,,facility,outpatient,,,419,335.2,Aetna,EBR ASO,,146.65,,,,17.13,444.37,percent of total billed charges,
DEBRIDEMENT NAILS 1 - 5,361,RC,11720,CPT,,,,,facility,inpatient,,,419,335.2,Aetna,EBR ASO,PO,146.65,,,,73.74,356.15,percent of total billed charges,
DEBRIDEMENT NAILS 1 - 5,361,RC,11720,CPT,,,,,facility,outpatient,,,419,335.2,Aetna,EBR ASO,PO,146.65,,,,17.13,444.37,percent of total billed charges,
DEBRIDEMENT NAILS 6 OR MORE,361,RC,11721,CPT,,,,,facility,inpatient,,,455,364,Aetna,EBR ASO,,159.25,,,,80.08,386.75,percent of total billed charges,
DEBRIDEMENT NAILS 6 OR MORE,361,RC,11721,CPT,,,,,facility,outpatient,,,455,364,Aetna,EBR ASO,,159.25,,,,22,518.86,percent of total billed charges,
DEBRIDEMENT NAILS 6 OR MORE,361,RC,11721,CPT,,,,,facility,inpatient,,,455,364,Aetna,EBR ASO,PO,159.25,,,,80.08,386.75,percent of total billed charges,
DEBRIDEMENT NAILS 6 OR MORE,361,RC,11721,CPT,,,,,facility,outpatient,,,455,364,Aetna,EBR ASO,PO,159.25,,,,22,518.86,percent of total billed charges,
NAIL AVULSION COMP/PART SNGL,361,RC,11730,CPT,,,,,facility,inpatient,,,1265,1012,Aetna,EBR ASO,,442.75,,,,222.64,1075.25,percent of total billed charges,
NAIL AVULSION COMP/PART SNGL,361,RC,11730,CPT,,,,,facility,outpatient,,,1265,1012,Aetna,EBR ASO,,442.75,,,,128.72,1075.25,percent of total billed charges,
NAIL AVULSION COMP/PART SNGL,361,RC,11730,CPT,,,,,facility,inpatient,,,1265,1012,Aetna,EBR ASO,PO,442.75,,,,222.64,1075.25,percent of total billed charges,
NAIL AVULSION COMP/PART SNGL,361,RC,11730,CPT,,,,,facility,outpatient,,,1265,1012,Aetna,EBR ASO,PO,442.75,,,,128.72,1075.25,percent of total billed charges,
ID SUBUNGUAL HEMATOMA,361,RC,11740,CPT,,,,,facility,inpatient,,,904,723.2,Aetna,EBR ASO,,316.4,,,,159.1,768.4,percent of total billed charges,
ID SUBUNGUAL HEMATOMA,361,RC,11740,CPT,,,,,facility,outpatient,,,904,723.2,Aetna,EBR ASO,,316.4,,,,26.4,931.2,percent of total billed charges,
EXCISION NAIL COMP/PART,361,RC,11750,CPT,,,,,facility,inpatient,,,3240,2592,Aetna,EBR ASO,,1134,,,,570.24,2754,percent of total billed charges,
EXCISION NAIL COMP/PART,361,RC,11750,CPT,,,,,facility,outpatient,,,3240,2592,Aetna,EBR ASO,,1134,,,,330.98,2754,percent of total billed charges,
REPAIR NAIL BED,361,RC,11760,CPT,,,,,facility,inpatient,,,5281,4224.8,Aetna,EBR ASO,,1848.35,,,,929.46,4488.85,percent of total billed charges,
REPAIR NAIL BED,361,RC,11760,CPT,,,,,facility,outpatient,,,5281,4224.8,Aetna,EBR ASO,,1848.35,,,,25.3,4488.85,percent of total billed charges,
WEDGE EXCISION SKIN NAIL FOLD,361,RC,11765,CPT,,,,,facility,inpatient,,,749,599.2,Aetna,EBR ASO,,262.15,,,,131.82,636.65,percent of total billed charges,
WEDGE EXCISION SKIN NAIL FOLD,361,RC,11765,CPT,,,,,facility,outpatient,,,749,599.2,Aetna,EBR ASO,,262.15,,,,55,636.65,percent of total billed charges,
EXC PILONIDAL CYST/SINUS SIMPL,361,RC,11770,CPT,,,,,facility,inpatient,,,6587,5269.6,Aetna,EBR ASO,,2305.45,,,,1159.31,5598.95,percent of total billed charges,
